Country,ISO Code,url,GDP,Population,Population growth rate,Exports,Current account balance,Imports,Mean Elevation (m),Coastline (km),Irrigated Land (sq km),Total area,Age structure - 0-14 years Rate,Age structure - 15-64 years Rate,Age structure - 65 years and over Rate,Total dependency ratio,Youth dependency ratio,Elderly dependency ratio,Potential support ratio,Median age,Median age - male,Median age - female,Birth rate/1000 people,Death rate/1000 people,Net migration rate/1000 people,Urban Population ratio,Urban population growth rate,Sex ratio at birth(male/female),Sex ratio 0-14 years(male/female),Sex ratio 15-64 years(male/female),Sex ratio 65 years and over(male/female),Sex ratio - total population(male/female),Mother's mean age at first birth,"Maternal mortality ratio (deaths/100,000 live births)",Infant mortality rate (per 1000 live births),Infant mortality rate - male,Infant mortality rate - female,Life expectancy at birth (years),Life expectancy at birth - male,Life expectancy at birth - female,Fertility rate (children born/women),Gross reproduction rate,Contraceptive prevalence rate,Improved Drinking Access Urban,Improved Drinking Access Rural,Improved Drinking Access Total,Unimproved Drinking Access Urban,Unimproved Drinking Access Rural,Unimproved Drinking Access Total,Current health expenditure (% of GDP),Physicians density (per 1000 people),Hospital bed density (beds per 1000 people),Improved Sanitation Access Urban,Improved Sanitation Access Rural,Improved Sanitation Access Total,Unimproved Sanitation Access Urban,Unimproved Sanitation Access Rural,Unimproved Sanitation Access Total,Obesity - adult prevalence rate,Alcohol consumption per capita (liters of pure alcohol),Alcohol consumption per capita - beer (liters of pure alcohol),Alcohol consumption per capita - wind (liters of pure alcohol),Alcohol consumption per capita - spirits (liters of pure alcohol),Alcohol consumption per capita - other alcohols (liters of pure alcohol),Tobacco use rate,Tobacco use rate - male,Tobacco use rate - female,Children under 5 years underweight rate,Married women (ages 15-49) rate,Women married by age 15 rate,Women married by age 18 rate,Education expenditures (% of GDP),Literacy rate,Literacy rate - male,Literacy rate - female,School life expectancy,School life expectancy - male,School life expectancy - female,Youth unemployment rate (ages 15-24),Youth unemployment rate (ages 15-24) - male,Youth unemployment rate (ages 15-24) - female,Forest land (% of land area),Agricultural land (% of land area),Other land (% of land area),Revenue from forest resources (% of GDP),Revenue from coal (% of GDP),Particulate matter emissions (micrograms per cubic meter),Carbon dioxide emissions (megatons),Methane emissions (megatons),Annual municipal solid waste (tons),Municipal water withdrawal (cubic meters),Industrial water withdrawal (cubic meters),Agricultural water withdrawal (cubic meters),Renewable water resources (cubic meters),GDP growth rate,GDP per capita growth rate,GDP (official exchange rate),Inflation rate,GDP by sector agriculture composition,GDP by sector industry composition,GDP by sector services composition,GDP by end use household composition,GDP by end use government composition,GDP by end use fixed capital investment composition,GDP by end use inventories investment composition,GDP by end use exports composition,GDP by end use - imports composition,Industrial production growth rate,Labor force,Agriculture labor force,Industry labor force,Services labor force,Unemployment rate,Population below poverty line,Gini Index coefficient,Household income(Lowest 10%) by percentage share,Household income(Highest 10%) by percentage share,Revenues,Expenditures,Budget Balance (% of GDP),Public debt (% of GDP),Taxes and other revenues (% of GDP),Current account balance (% of GDP),Currency and gold reserves,External debt,Exchange rates to USD,Electricity access rate,Electricity access rate - rural,Electricity access rate - urban,Electricity installed capacity (kW),Electricity consumption (kWh),Electricity exports (kWh),Electricity imports (kWh),Electricity transmission losses (kWh),Electricity fossil fuel generation (% of total capacity),Electricity nuclear generation (% of total capacity),Electricity hydro generation (% of total capacity),Electricity wind generation (% of total capacity),Electricity solar generation (% of total capacity),Electricity geothermal generation (% of total capacity),Electricity tide and wave generation,Electricity biomass and waste generation (% of total capacity),Coal production (metric tons),Coal consumption (metric tons),Coal exports (metric tons),Coal imports (metric tons),Coal reserves (metric tons),Petroleum production (bbl/day),Petroleum consumption (bbl/day),Petroleum exports (bbl/day),Petroleum imports (bbl/day),Refined petroleum products production (bbl/day),Refined petroleum products exports (bbl/day),Refined petroleum products imports (bbl/day),Natural gas production (cubic meters),Natural gas consumption (cubic meters),Natural gas exports (cubic meters),Natural gas imports (cubic meters),Natural gas reserves (cubic meters),Energy: Carbon dioxide emissions (metric tonnes),Coal emissions (metric tonnes),Petroleum emissions (metric tonnes),Gas emissions (metric tonnes),Energy consumption per capita (Btu/preson),Telephone fixed line subscriptions (per 100 people),Telephone mobile subscriptions (per 100 people),Internet users/total population,Broadband fixed subscriptions (per 100 people),Registered air carriers,Inventory of registered aircraft,Annual passenger traffic on air carriers,Annual freight traffic on air carriers (mt-km),Airports,Airports with paved runways,Airports with unpaved runways,Heliports,Total Roadways (km),Paved Roadways (km),Unpaved Roadways (km),Military expenditures (% of GDP)
Bahrain,BHR,https://www.cia.gov/the-world-factbook/countries/bahrain/,72267000000.0,1553886,0.85,35235000000.0,1493000000.0,27577000000.0,,161.0,40.0,760.0,18.14,77.83,4.03,31.3,26.8,4.6,21.8,33.3,34.6,31,12.3,2.8,-1,89.9,1.99,1.03,1.03,1.69,1.06,1.51,nan,16,10,11.7,8.3,80.1,77.9,82.5,1.66,0.82,nan,100,,,0,,,4.2,0.93,1.7,100,,,0,,,29.8,1.18,0.4,0.11,0.66,0.01,14.9,25.3,4.5,nan,43.8,nan,nan,2.2,97.5,99.9,94.9,16,16,17,9.9,6.1,20.5,0.7,11.3,88,0,0,51.82,31.69,15.47,951943 tons,280000000.0,10000000.0,140000000.0,120000000.0,2.23,49400,38472000000.0,-0.61,0.3,39.3,60.4,45.8,15.5,26.1,0.4,80.2,-67.9,0.4,819100,1,32,67,1.87,nan,nan,nan,nan,9168000000.0,12630000000.0,-10.1,88.5,16.6,-2435000000.0,4993000000.0,52150000000.0,0.376,100,nan,nan,6982000.0,31038250000 kWh,447000000.0,652000000.0,611000000.0,100,0,0,0,0,0,0,0,0 metric tons,0 metric tons,0 metric tons,0 metric tons,0 metric tons,185300,73200,0,228800,274500,245300,14530,18271840000 cubic meters,18251140000 cubic meters,0 cubic meters,0 cubic meters,81382000000.0,43112000.0,0 metric tonnes of CO2,7308000.0,35804000.0,547976000.0,18,131,100,9,6,42,5877003,420980000.0,4,4,nan,1,4122 km,3392 km,730 km,3.2
Baker Island,UMI,https://www.cia.gov/the-world-factbook/countries/baker-island/,,,nan,,,,,,,,nan,nan,nan,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,,nan,nan,nan,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,100,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,note,nan,nan,nan,nan,nan,nan
Bangladesh,BGD,https://www.cia.gov/the-world-factbook/countries/bangladesh/,1000999999999.9999,167184465,0.91,49386000000.0,15563000000.0,64233999999.99999,85.0,580.0,81270.0,148460.0,25.38,67.09,7.53,47.7,39.1,8.6,11.6,29.2,28.3,30,17.5,5.5,-2.9,40.5,2.88,1.04,1.04,0.95,0.87,0.96,18.6,123,29.6,32.1,26.9,75,72.8,77.2,2.08,1.02,62.7,99,98.7,98.9,1,1.3,1.1,2.6,0.67,0.8,85.3,73.5,78,14.7,26.5,22,3.6,0,0,0,0,0,34.7,52.2,17.1,22.6,80.1,15.5,51.4,2.1,74.9,77.8,72,12,12,13,14.7,12.5,19.6,11.1,70.1,18.8,0.08,0.02,45.99,84.25,59.3,14778497 tons,3600000000.0,770000000.0,31500000000.0,1230000000000.0,6.94,5900,329545000000.0,5.55,14.2,29.3,56.5,68.7,6,30.5,1,15,-20.3,10.29,70961000.0,42.7,20.5,36.9,5.23,24.3,32.4,4,27,30023000000.0,46379000000.0,-3.2,33.1,7,-15563000000.0,46166000000.0,50260000000.0,85.084,98.9,98.5,99.7,18461000.0,76849877000 kWh,0 kWh,6786000000.0,9537000000.0,98.6,0,0.8,0,0.6,0,0,0,1016000.0,9345000.0,0 metric tons,8329000.000000001,293000000.0,13500,122500,0,21600,26280,901,81570,28629927000 cubic meters,31268968000 cubic meters,0 cubic meters,2639041000 cubic meters,126293000000.0,96180000.0,16538000.0,18535000.0,61107000.0,9917000.0,0,107,39,6,6,30,5984155,63820000.0,18,16,2,3,369105 km,110311 km,258794 km,1.1
Barbados,BRB,https://www.cia.gov/the-world-factbook/countries/barbados/,3868000000.0,303431,0.24,357000000.0,452390000.0,2120000000.0,,97.0,50.0,430.0,16.78,67.56,15.66,49,25.6,23.4,4.3,41,39.9,42.1,10.7,8,-0.3,31.4,0.46,1.01,1,0.97,0.72,0.93,nan,39,9.8,11.3,8.2,78.8,76,81.6,1.7,0.85,59.2,98.8,,,2,,,7.2,2.49,6,100,,,0,,,23.1,9.94,3.66,1.36,4.75,0.17,8.5,15,1.9,nan,57.1,nan,nan,6.5,99.6,99.6,99.6,nan,nan,nan,30.6,34.8,25.6,19.4,32.6,48,0.01,0,9.79,1.28,2.35,174815 tons,20000000.0,10000000.0,5000000.0,80000000.0,-0.19,13800,4990000000.0,4.1,1.5,9.8,88.7,84.2,13.4,17.6,0.2,31.6,-47,-0.6,139100,10,15,75,10.41,nan,nan,nan,nan,1271000000.0,1483000000.0,-4,146.93,27.48,-296396000.0,1673000000.0,4490000000.0,2,100,nan,nan,311000 kW,1000000000.0,0 kWh,0 kWh,20000000.0,95.9,0,0,0,4.1,0,0,0,0 metric tons,0 metric tons,0 metric tons,0 metric tons,0 metric tons,1000,10800,700,0,0,0,10630,14923000.0,20954000.0,0 cubic meters,6031000.0,113000000.0,1703000.0,0 metric tonnes of CO2,1662000.0,41000 metric tonnes of CO2,83723000.0,43,113,86,45,nan,,nan,nan,1,1,nan,nan,1700 km,1700 km,nan,0.8
Belarus,BLR,https://www.cia.gov/the-world-factbook/countries/belarus/,184482000000.0,9383853,-0.39,49425000000.0,1246000000.0,42378000000.0,160.0,0.0,303.0,207600.0,15.83,66.81,17.36,50.8,25.4,25.4,3.9,41.7,39.1,44.6,8.6,13.3,0.9,80.7,0.28,1.06,1.06,0.95,0.5,0.88,26.8,1,2.1,2.5,1.8,74.6,69.6,79.9,1.45,0.7,52.6,100,99.6,99.9,0,0.4,0.1,6.4,4.54,10.8,99.9,98.3,99.5,0.1,1.7,0.5,24.5,10.57,2.26,0.98,4.67,2.66,30.5,47.4,13.5,nan,66.6,0.1,4.7,4.7,99.9,99.9,99.9,15,15,15,11.3,14,8.4,42.7,43.7,13.6,1.02,0,15.48,58.28,17.19,4280000.0,550000000.0,410000000.0,370000000.0,57900000000.0,2.3,19800,63168000000.0,9.46,8.1,40.8,51.1,54.8,14.6,24.9,5.7,67,-67,6.7,4950000.0,9.7,23.4,66.8,4.74,5,24.4,3.8,21.9,24743000000.0,24239000000.0,2.9,33.24,12.02,2153000000.0,8425000000.000001,39847000000.0,2.539,100,nan,nan,11360000.0,32665500000 kWh,4777000000.0,4277000000.0,2711000000.0,95.8,0.9,1.1,0.5,0.5,0,0,1.2,0 metric tons,621000 metric tons,1574000.0,2117000.0,0 metric tons,34300,134600,32200,383200,477200,351200,14630,68951000.0,18639590000 cubic meters,0 cubic meters,18673429000 cubic meters,2832000000.0,54695000.0,1623000.0,16856000.0,36217000.0,102558000.0,45,123,87,35,2,30,2760168,1900000.0,65,33,32,1,86600 km,(2010),(2010),1.1
Belgium,BEL,https://www.cia.gov/the-world-factbook/countries/belgium/,599814000000.0,11913633,0.55,515625000000.0,2917000000.0,438221000000.0,181.0,,57.0,30528.0,17.03,63.06,19.91,56.5,26.1,30.4,3.3,41.9,40.7,43,10.9,9.6,4.2,98.2,0.38,1.05,1.05,1.02,0.79,0.97,29.2,5,3.2,3.6,2.7,82.1,79.5,84.8,1.77,0.86,66.7,100,100,100,0,0,0,11.1,6.08,5.6,100,100,100,0,0,0,22.1,9.15,4.35,3.41,1.09,0.3,23.4,25.8,21,1,43.2,nan,nan,6.7,nan,nan,nan,19,18,20,19.6,18.9,20.4,22.4,44.1,33.5,0.02,0,11.26,96.89,7.78,4708000.0,740000000.0,3470000000.0,50000000.0,18300000000.0,6.13,51700,533028000000.0,2.44,0.7,22.1,77.2,51.2,23.4,23.3,1.3,85.1,-84.4,1.28,5240000.0,1.3,18.6,80.1,6.42,14.8,27.2,3.4,28.4,267105000000.00003,277492000000.0,-1,119.43,21.97,2917000000.0,41872000000.0,1317513000000,0.845,100,nan,nan,26929000.0,81171300000 kWh,14053000000.0,13394000000.0,3444000000.0,33.1,38.1,0.3,15,5.8,0,0,7.7,1105000.0,4167000.0,504000 metric tons,3467000.0,0 metric tons,11400,642300,0,666700,731700,680800,601400,0 cubic meters,18170000000.0,3943000000.0,22610000000.0,0 cubic meters,128247000.00000001,10301000.0,83474000.0,34472000.0,234216000.0,28,101,91,41,7,117,13639487,1285340000,41,26,15,1,118414 km,118414 km,(2010),1.13
Belize,BLZ,https://www.cia.gov/the-world-factbook/countries/belize/,3505000000.0,419137,1.47,1044000000.0,184646000.0,1203000000.0,173.0,386.0,35.0,22966.0,30.93,64.15,4.92,49.7,42.3,7.4,13.5,26.4,26.1,26.8,18,5.2,1.8,46.6,2.3,1.05,1.04,0.99,0.9,0.98,nan,130,11.3,12.4,10.2,73.7,71.9,75.6,2.08,1.02,51.4,100,99.4,99.7,0,0.6,0.3,6.9,1.08,1,99.1,95.7,97.3,0.9,4.3,2.7,24.1,5.93,3.88,0.68,1.19,0.17,8.5,15.1,1.8,4.6,64.3,6.3,33.5,8.7,nan,nan,nan,13,12,13,19.3,12.2,31.9,60.6,6.9,32.5,0.31,0,10.51,0.57,0.55,101379 tons,10000000.0,20000000.0,70000000.0,21730000000.0,15.23,8800,1854000000.0,3.24,10.3,21.6,68,75.1,15.2,22.5,1.2,49.1,-63.2,15.08,176900,10.2,18.1,71.7,8.22,41,nan,nan,nan,583000000.0,656000000.0,-1,99,21.16,-162434000.0,420102800,1315000000.0,2,97.7,97,98.4,204000 kW,992305000.0,0 kWh,240000000.0,80300000.0,63.6,0,13.4,0,0.2,0,0,22.9,0 metric tons,0 metric tons,0 metric tons,0 metric tons,0 metric tons,1300,3900,1200,0,36,0,4161,0 cubic meters,0 cubic meters,0 cubic meters,0 cubic meters,0 cubic meters,541000 metric tonnes of CO2,0 metric tonnes of CO2,541000 metric tonnes of CO2,0 metric tonnes of CO2,31552000.0,5,66,62,9,2,28,1297533,3780000.0,47,6,41,nan,3281 km,601 km,2680 km,1.1
Benin,BEN,https://www.cia.gov/the-world-factbook/countries/benin/,43170000000.0,14219908,3.31,3506000000.0,648825000.0,4669000000.0,273.0,121.0,172.0,112622.0,45.37,52.18,2.45,84,78.3,5.7,17.7,17.1,16.6,17.7,40.7,7.8,0.2,50.1,3.74,1.05,1.02,0.94,0.84,0.97,20.5,523,54.3,59.3,49.1,62.6,60.8,64.6,5.39,2.63,15.5,79,70.8,74.7,21,29.2,25.3,2.6,0.07,0.5,56.3,18.1,36.6,43.7,81.9,63.4,9.6,1.25,0.81,0.02,0.2,0.22,6.9,11.8,1.9,16.8,68.3,9.4,30.6,3,45.8,56.9,35,11,12,10,3.9,3.1,4.6,40,31.3,28.7,2.24,0,31.51,6.48,5.8,685936 tons,150000000.0,30000000.0,60000000.0,26390000000.0,7.16,3300,10315000000.0,1.73,26.1,22.8,51.1,70.5,13.1,27.6,0,31.6,-43,9.12,5295000.0,nan,nan,nan,1.57,38.5,37.8,3.1,29,2024000000.0,2101000000.0,-6.2,54.6,17.1,-273967000.0,698900000.0,2804000000.0,554.608,41.9,17.9,66.9,475000 kW,524080000.00000006,2000000.0,646000000.0,346000000.0,96.9,0,0,0,3.1,0,0,0,0 metric tons,78000 metric tons,0 metric tons,78000 metric tons,0 metric tons,0,46300,0,0,0,1514,38040,0 cubic meters,19057000.0,0 cubic meters,19057000.0,1133000000.0,6903000.0,274000 metric tonnes of CO2,6592000.0,37000 metric tonnes of CO2,8468000.0,(2021,98,34,0.3,1,1 (2015),112392,805347,6,1,5,nan,16000 km,1400 km,14600 km,0.7
Bermuda,BMU,https://www.cia.gov/the-world-factbook/countries/bermuda/,5220000000.0,72576,0.32,1123000000.0,1014999999.9999999,2224000000.0,,103.0,,54.0,16.45,61.66,21.89,52.9,22.8,30.1,3.3,43.7,41.4,46.3,11,9.2,1.4,100,-0.2,1.05,1.05,1,0.74,0.95,nan,nan,2.2,2.5,1.8,82.3,79.2,85.5,1.89,0.92,nan,99.9,99.9,,0.1,0.1,,nan,nan,nan,99.9,99.9,,0.1,0.1,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,47.6,nan,nan,1.9,nan,nan,nan,13,12,13,29.3,29.7,29,20,14.8,65.2,nan,nan,nan,0.61,nan,82000 tons,nan,nan,nan,nan,5.41,80300,6127000000.0,1.9,0.9,5.3,93.8,51.3,15.7,13.7,0,49.8,-30.4,0.1,33480,2,13,85,7,11,nan,nan,nan,999200000.0,1176000000.0,-2.9,43,16.3,1014999999.9999999,nan,2515000000.0,1,100,nan,nan,172000 kW,533433999.99999994,0 kWh,0 kWh,41000000.0,100,0,0,0,0,0,0,0,0 metric tons,0 metric tons,0 metric tons,0 metric tons,0 metric tons,0,5200,0,0,0,0,3939,0 cubic meters,0 cubic meters,0 cubic meters,0 cubic meters,0 cubic meters,796000 metric tonnes of CO2,0 metric tonnes of CO2,796000 metric tonnes of CO2,0 metric tonnes of CO2,176312000.0,39,110,100,37,nan,,nan,nan,1,1,nan,nan,447 km,447 km,nan,nan
Bhutan,BTN,https://www.cia.gov/the-world-factbook/countries/bhutan/,8481000000.0,876181,0.96,741602000.0,500802000.0,1230000000.0,2220.0,0.0,320.0,38394.0,23.49,69.97,6.54,40.7,32.1,8.6,11.1,30.2,30.6,29.8,15.6,6.1,0,44.4,2.52,1.05,1.05,1.08,1.07,1.07,nan,60,25.6,25.9,25.3,73,71.8,74.3,1.77,0.86,nan,99.5,100,99.8,0.5,0,0.2,4.4,0.5,1.7,90.8,83.1,86.4,9.2,16.9,13.6,6.4,0.07,0.01,0.05,0,0,nan,nan,nan,nan,62.8,nan,nan,7,70.9,77.9,62.8,13,13,13,18.8,15.6,22,85.5,13.6,0.9,1.89,0,26.1,1.26,1.11,111314 tons,20000000.0,3000000.0,320000000.0,78000000000.0,4.09,10900,2405000000.0,7.35,16.2,41.8,42,58,16.8,47.2,0,26,-48,1.96,361000,58,20,22,4.33,8.2,37.4,2.8,30.6,710000000.0,777000000.0,-3.4,117.33,12.98,-321535000.0,1056000000.0,2671000000.0,73.939,100,nan,nan,2334000.0,4315000000.0,4600000000.0,22850000.0,60000000.0,0,0,100,0,0,0,0,0,174000 metric tons,211000 metric tons,0 metric tons,37000 metric tons,0 metric tons,0,4400,0,0,0,0,3120,0 cubic meters,0 cubic meters,0 cubic meters,0 cubic meters,0 cubic meters,934000 metric tonnes of CO2,328000 metric tonnes of CO2,606000 metric tonnes of CO2,0 metric tonnes of CO2,100135000.0,3,100,86,0.4,2,6,275849,690000,3,2,1,nan,12205 km,(2017),(2017),nan
Bolivia,BOL,https://www.cia.gov/the-world-factbook/countries/bolivia/,97266000000.0,12186079,1.06,11439000000.0,1366000000.0,11957000000.0,1192.0,0.0,2972.0,1098581.0,29.14,64.03,6.84,56.3,48.7,12,8.3,26.2,25.9,26.6,18.1,6.5,-1,71.2,1.87,1.05,1.04,1.01,0.86,1.01,21.1,161,22.3,24.5,20,72.5,71,74,2.26,1.1,66.5,99.2,80.2,93.5,0.8,19.8,6.5,7.9,1.03,1.3,97.8,48.4,83.1,2.2,51.6,16.9,20.2,2.98,2.22,0.14,0.54,0.08,12.7,20.5,4.8,3.4,57.1,3.4,19.7,9.8,92.5,96.5,88.6,nan,nan,nan,17.4,16.8,18.4,52.5,34.3,13.2,0.33,0,25.23,21.61,21.01,2219052 tons,140000000.0,30000000.0,1920000000.0,574000000000.0,6.11,8100,40822000000.0,0.74,13.8,37.8,48.2,67.7,17,21.3,3.8,21.7,-31.3,9.56,6322000.0,29.4,22,48.6,8.51,37.2,43.6,0.9,36.1,11796000000.0,14750000000.0,-7.8,49,39.9,802112000.0,4730000000.0,12810000000.0,6.91,98.5,95.1,100,3834000.0,8756690000 kWh,0 kWh,0 kWh,1227000000.0,64.4,0,30.5,0.7,2.6,0,0,1.8,0 metric tons,0 metric tons,0 metric tons,0 metric tons,1000000.0,65400,87800,0,0,65960,9686,20620,15328422000 cubic meters,2918839000 cubic meters,11818215000 cubic meters,0 cubic meters,302990000000.0,17786000.0,0 metric tonnes of CO2,12071000.0,5715000.0,27094000.0,4,100,66,8,7,39,4122113,13730000.0,855,21,834,nan,90568 km,9792 km,80776 km,1.3
Bosnia and Herzegovina,BIH,https://www.cia.gov/the-world-factbook/countries/bosnia-and-herzegovina/,51244000000.0,3807764,-0.23,9948000000.0,531917000.00000006,11156000000.0,500.0,20.0,30.0,51197.0,13.14,69,17.86,48,22.3,27.1,3.7,44.4,42.7,46.1,8.3,10.3,-0.4,50.3,0.61,1.07,1.07,1.01,0.69,0.95,27.7,6,5.1,5.2,5,78.2,75.3,81.4,1.37,0.66,45.8,99.9,100,99.9,0.1,0,0.1,9.8,2.16,3.5,99.5,,,0.5,,,17.9,5.46,4.19,0.47,0.62,0.17,35,42,28,nan,63.8,nan,nan,nan,98.1,99.4,98.1,14,14,15,32.9,28.2,39.9,42.8,42.2,15,0.49,0.34,26.19,21.85,2.92,1248718 tons,310000000.0,60000000.0,nan,37500000000.0,7.55,15700,20078000000.0,1.98,6.8,28.9,64.3,77.4,20,16.6,2.3,38.7,-55.1,8.87,1169000.0,18,30.4,51.7,15.22,16.9,33,2.9,25.8,8433999999.999999,8154000000.0,2.1,46.05,19.01,-557887000.0,9475000000.0,10870000000.0,1.654,100,nan,nan,4775000.0,11657450000 kWh,7316000000.0,3266000000.0,1257000000.0,62.8,0,35.4,1.5,0.3,0,0,0.1,6966000.0,7752000.0,525000 metric tons,1366000.0,2264000000.0,0,34700,0,13900,0,4603,18280,0 cubic meters,218266000.0,0 cubic meters,218266000.0,0 cubic meters,16209000.0,10923000.0,4871000.0,415000 metric tonnes of CO2,71815000.0,21,114,76,24,1,1,7070,87,24,7,17,6,22926 km,19426 km,3500 km,0.8
Botswana,BWA,https://www.cia.gov/the-world-factbook/countries/botswana/,38415000000.0,2417596,1.37,7931000000.0,1155000000.0,7696000000.0,1013.0,0.0,25.0,581730.0,29.17,64.88,5.95,57.5,51.8,5.7,13.8,26.8,25.6,27.9,20,9,2.8,72.9,2.47,1.03,1.02,0.91,0.67,0.92,nan,186,24.4,26.7,22,66,64,68.2,2.37,1.17,67.4,98.1,96.9,99.4,0.2,3.1,0.6,6.2,0.38,1.8,94.9,63,85.6,5.1,37,14.4,18.9,5.98,2.93,0.46,0.96,1.64,19.4,30.4,8.3,nan,45,nan,nan,8.7,88.5,88,88.9,12,12,12,41.2,39.5,43.3,19.8,45.8,34.4,0.23,0.45,12.82,6.34,5.73,210854 tons,110000000.0,30000000.0,80000000.0,12240000000.0,11.37,14800,18335000000.0,7.24,1.8,27.5,70.6,48.5,18.4,29,-1.8,39.8,-33.9,19.38,1050000.0,nan,nan,nan,24.72,19.3,53.3,nan,nan,3828000000.0,6006000000.0,-1,19.66,22.32,-122877000.0,4802000000.0,2187000000.0,11.087,73.7,24.9,93,766000 kW,3515900000 kWh,0 kWh,1101000000.0,631000000.0,99.8,0,0,0,0.2,0,0,0,1876000.0,1416000.0,497000 metric tons,0 metric tons,1660000000.0,0,21700,0,0,0,0,21090,0 cubic meters,0 cubic meters,0 cubic meters,0 cubic meters,0 cubic meters,5965000.0,2922000.0,3042000.0,0 metric tonnes of CO2,34095000.0,5,161,74,11,1,6,253417,110000,74,10,64,nan,31747 km,9810 km,21937 km,2.8
Bouvet Island,BVT,https://www.cia.gov/the-world-factbook/countries/bouvet-island/,,,nan,,,,,,,49.0,nan,nan,nan,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,,nan,nan,nan,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,100,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Brazil,BRA,https://www.cia.gov/the-world-factbook/countries/brazil/,3128000000000.0,218689757,0.64,317175000000.0,65030000000.0,269017000000.0,320.0,7491.0,69029.0,8515770.0,19.77,69.72,10.51,43.1,29.4,13.7,7.3,34.7,33.6,35.7,13.4,6.9,-0.2,87.8,0.87,1.05,1.04,0.98,0.75,0.97,nan,72,13.1,14.7,11.5,76.1,72.6,79.8,1.75,0.85,80.5,99.8,96.9,99.4,0.2,3.1,0.6,10.3,2.31,2.1,94.1,63.6,90.2,5.9,36.4,9.8,22.1,6.12,3.84,0.24,2,0.04,12.8,16.2,9.4,nan,55.9,nan,nan,6,94.3,94.1,94.5,16,15,16,31.9,27,38.2,61.9,32.9,5.2,0.62,0.01,10.94,462.3,401.83,79889010 tons,16129999999.999998,9510000000.0,41420000000.0,8650000000000.0,4.62,14600,1877942000000,8.3,6.6,20.7,72.7,63.4,20,15.6,-0.1,12.6,-11.6,4.48,99470000.0,9.4,32.1,58.5,14.4,4.2,48.9,0.8,43.4,424196000000.0,617332000000.0,-1.1,100.59,12.96,-27925000000.0,362210000000.0,681336000000.0,5.394,99.4,97.3,99.7,195037000.0,540997340000 kWh,395000000.0,25113000000.0,105727000000.0,11.8,2.3,65.8,9.2,1.7,0,0,9.2,13993000.0,31841000.0,16000 metric tons,19217000.0,6596000000.0,3629100,3142300,1123300,186200,2.811,279000,490400,25395979000 cubic meters,35253198000 cubic meters,0 cubic meters,9724017000 cubic meters,363984000000.0,456670000.0,63530000.0,328824000.0,64316000.0,59444000.0,13,102,81,17,9,443,102109977,1845650000,4093,698,3395,13,2000000.0,246000 km,1754000.0,1.2
British Indian Ocean Territory,IOT,https://www.cia.gov/the-world-factbook/countries/british-indian-ocean-territory/,,,nan,,,,,698.0,,60.0,nan,nan,nan,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,,nan,nan,nan,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,100,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,1,1,nan,nan,nan,nan,nan,nan
